r,V_p,V_s,rho,Q_p,Q_s,r,rho(kg/cm^3),gravity,pressure
1737.1,1,0.5,2.6,6750,6750,1737.1,2.6,1.6248,0
1736.1,1,0.5,2.6,6750,6750,1736.1,2.6,1.6245,0.0056
1736.1,3.2,1.8,2.762,6750,6750,1736.1,2.762,1.6245,0.0056
1725.1,3.2,1.8,2.762,6750,6750,1725.1,2.762,1.6196,0.0781
1725.1,5.5,3.3,2.762,6750,6750,1725.1,2.762,1.6196,0.0781
1709.1,5.5,3.3,2.762,6750,6750,1709.1,2.762,1.6127,0.1825
1709.1,7.54,4.34,3.312,6750,6750,1697.1,2.762,1.6076,0.2599
1697.1,7.55,4.34,3.314,6750,6750,1697.1,3.314,1.6076,0.2599
1671.7,7.57,4.35,3.318,9000,4000,1671.7,3.318,1.5851,0.5086
1647.1,7.59,4.36,3.322,9000,4000,1647.1,3.322,1.5632,0.747
1627.1,7.61,4.37,3.325,9000,4000,1627.1,3.325,1.5454,0.9389
1607.1,7.63,4.38,3.329,9000,4000,1607.1,3.329,1.5276,1.129
1587.1,7.64,4.39,3.332,9000,4000,1587.1,3.332,1.5098,1.3174
1567.1,7.66,4.4,3.335,9000,4000,1567.1,3.335,1.492,1.504
1547.1,7.68,4.4,3.338,9000,4000,1547.1,3.338,1.4741,1.6888
1527.1,7.69,4.41,3.341,9000,4000,1527.1,3.341,1.4562,1.8718
1502,7.71,4.42,3.344,9000,4000,1502,3.344,1.4338,2.0988
1487.1,7.72,4.43,3.346,9000,4000,1487.1,3.346,1.4204,2.2321
1461.7,7.74,4.44,3.35,3375,1500,1461.7,3.35,1.3976,2.457
1447.1,7.75,4.44,3.352,3375,1500,1447.1,3.352,1.3845,2.5848
1427.1,7.77,4.45,3.355,3375,1500,1427.1,3.355,1.3666,2.7583
1407.1,7.78,4.45,3.357,3375,1500,1407.1,3.357,1.3486,2.9297
1387.1,7.8,4.46,3.36,3375,1500,1387.1,3.36,1.3306,3.0992
1367.1,7.81,4.47,3.363,3375,1500,1367.1,3.363,1.3126,3.2666
1347.1,7.82,4.47,3.365,3375,1500,1347.1,3.365,1.2946,3.432
1327.1,7.84,4.48,3.368,3375,1500,1327.1,3.368,1.2766,3.5954
1307.1,7.85,4.49,3.37,3375,1500,1307.1,3.37,1.2586,3.7566
1287.1,7.86,4.49,3.373,3375,1500,1287.1,3.373,1.2405,3.9157
1267.1,7.88,4.5,3.375,3375,1500,1267.1,3.375,1.2225,4.0728
1252,7.88,4.5,3.377,3375,1500,1252,3.377,1.2089,4.1899
1231.7,7.9,4.51,3.379,1125,500,1231.7,3.379,1.1906,4.3454
1207.1,7.91,4.51,3.382,1125,500,1207.1,3.382,1.1685,4.5308
1187.1,7.92,4.52,3.384,1125,500,1187.1,3.384,1.1505,4.6791
1167.1,7.94,4.53,3.386,1125,500,1167.1,3.386,1.1325,4.8252
1147.1,7.95,4.53,3.388,1125,500,1147.1,3.388,1.1145,4.969
1127.1,7.96,4.54,3.391,1125,500,1127.1,3.391,1.0965,5.1106
1107.1,7.97,4.54,3.393,1125,500,1107.1,3.393,1.0786,5.2499
1087.1,7.98,4.54,3.395,1125,500,1087.1,3.395,1.0606,5.3869
1067.1,7.99,4.55,3.397,1125,500,1067.1,3.397,1.0427,5.5215
1047.1,8,4.55,3.398,1125,500,1047.1,3.398,1.0249,5.6539
1027.1,8.01,4.56,3.4,1125,500,1027.1,3.4,1.007,5.7838
1002,8.02,4.56,3.403,1125,500,1002,3.403,0.9847,5.9436
987.1,8.03,4.57,3.404,1125,500,987.1,3.404,0.9715,6.0367
961.7,8.04,4.57,3.406,675,300,961.7,3.406,0.949,6.1922
947.1,8.05,4.57,3.408,675,300,947.1,3.408,0.9361,6.2798
927.1,8.06,4.58,3.409,675,300,927.1,3.409,0.9185,6.3977
907.1,8.07,4.58,3.411,675,300,907.1,3.411,0.901,6.5132
887.1,8.08,4.58,3.413,675,300,887.1,3.413,0.8835,6.6262
867.1,8.08,4.59,3.414,675,300,867.1,3.414,0.8662,6.7367
847.1,8.09,4.59,3.416,675,300,847.1,3.416,0.8489,6.8446
827.1,8.1,4.59,3.417,675,300,827.1,3.417,0.8318,6.95
807.1,8.11,4.6,3.419,675,300,807.1,3.419,0.8147,7.0529
787.1,8.12,4.6,3.42,675,300,787.1,3.42,0.7978,7.1531
767.1,8.12,4.6,3.421,675,300,767.1,3.421,0.7811,7.2508
747.1,8.13,4.61,3.423,675,300,747.1,3.423,0.7645,7.3458
727.1,8.14,4.61,3.424,675,300,727.1,3.424,0.7481,7.4382
707.1,8.14,4.61,3.425,675,300,707.1,3.425,0.732,7.528
687.1,8.15,4.61,3.427,675,300,687.1,3.427,0.716,7.615
667.1,8.16,4.62,3.428,675,300,667.1,3.428,0.7004,7.6992
647.1,8.16,4.62,3.429,675,300,647.1,3.429,0.685,7.7808
627.1,8.17,4.62,3.43,675,300,627.1,3.43,0.67,7.8595
607.1,8.18,4.62,3.431,675,300,607.1,3.431,0.6554,7.9354
587.1,8.18,4.62,3.433,675,300,587.1,3.433,0.6413,8.0085
567.1,8.19,4.63,3.434,675,300,567.1,3.434,0.6277,8.0786
547.1,8.19,4.63,3.435,675,300,547.1,3.435,0.6147,8.1458
527.1,8.2,4.63,3.436,675,300,527.1,3.436,0.6024,8.21
507.1,8.2,4.63,3.437,675,300,507.1,3.437,0.5909,8.2711
487.1,8.21,4.63,3.438,675,300,487.1,3.438,0.5804,8.3291
467.1,8.21,4.63,3.438,675,300,467.1,3.438,0.571,8.3839
447.1,8.22,4.63,3.439,675,300,447.1,3.439,0.5629,8.4353
427.1,8.22,4.64,3.44,675,300,427.1,3.44,0.5564,8.4834
407.1,8.23,4.64,3.441,675,300,407.1,3.441,0.5518,8.5279
387.1,8.23,4.64,3.442,675,300,387.1,3.442,0.5495,8.5687
380,8.23,4.64,3.442,675,300,380,3.442,0.5494,8.5823
380,8.23,0,5.171,10000,10000,380,5.171,0.5494,8.5823
0,8.23,0,5.171,10000,10000,0,5.171,0,9.6618