Radius,Vp,Vs,Rho,Qp,Qs,Radius2,Density,Gravity,Pressure,Mass
1737.1,1.00,0.50,2.6,6750,6750,1737.1,2.6,1.6248,0.0,7.131599930588782e+22
1736.1,1.00,0.50,2.6,6750,6750,1736.1,2.6,1.6245,0.0042,7.121752278742399e+22
1736.1,3.20,1.80,2.762,6750,6750,1736.1,2.762,1.6245,0.0042,7.121752278742399e+22
1725.1,3.20,1.80,2.762,6750,6750,1725.1,2.762,1.6196,0.0535,7.008132281666198e+22
1725.1,5.50,3.30,2.762,6750,6750,1725.1,2.762,1.6196,0.0535,7.008132281666198e+22
1709.1,5.50,3.30,2.762,6750,6750,1709.1,2.762,1.6127,0.1249,6.8459182309910816e+22
1709.1,7.54,4.34,3.312,6750,6750,1697.1,2.762,1.6076,0.1783,6.8459182309910816e+22
1697.1,7.55,4.34,3.314,6750,6750,1697.1,3.314,1.6076,0.1783,6.7019858594998025e+22
1671.7,7.57,4.35,3.318,9000,4000,1671.7,3.318,1.5851,0.3127,6.406023386695273e+22
1647.1,7.59,4.36,3.322,9000,4000,1647.1,3.322,1.5632,0.4413,6.127421191772202e+22
1627.1,7.61,4.37,3.325,9000,4000,1627.1,3.325,1.5454,0.5446,5.906183051322683e+22
1607.1,7.63,4.38,3.329,9000,4000,1607.1,3.329,1.5276,0.6469,5.69009066919854e+22
1587.1,7.64,4.39,3.332,9000,4000,1587.1,3.332,1.5098,0.748,5.479153343468758e+22
1567.1,7.66,4.40,3.335,9000,4000,1567.1,3.335,1.492,0.8481,5.2733136534599834e+22
1547.1,7.68,4.40,3.338,9000,4000,1547.1,3.338,1.4741,0.947,5.0725139975431235e+22
1527.1,7.69,4.41,3.341,9000,4000,1527.1,3.341,1.4562,1.0449,4.876696593133351e+22
1502.0,7.71,4.42,3.344,9000,4000,1502.0,3.344,1.4338,1.1661,4.638744395785303e+22
1487.1,7.72,4.43,3.346,9000,4000,1487.1,3.346,1.4204,1.2373,4.500195708179095e+22
1461.7,7.74,4.44,3.35,3375,1500,1461.7,3.35,1.3976,1.3571,4.271738491408731e+22
1447.1,7.75,4.44,3.352,3375,1500,1447.1,3.352,1.3845,1.4251,4.1429539259837055e+22
1427.1,7.77,4.45,3.355,3375,1500,1427.1,3.355,1.3666,1.5174,3.97122589258911e+22
1407.1,7.78,4.45,3.357,3375,1500,1407.1,3.357,1.3486,1.6085,3.804177951576501e+22
1387.1,7.80,4.46,3.36,3375,1500,1387.1,3.36,1.3306,1.6985,3.641699908180331e+22
1367.1,7.81,4.47,3.363,3375,1500,1367.1,3.363,1.3126,1.7874,3.483732572382262e+22
1347.1,7.82,4.47,3.365,3375,1500,1347.1,3.365,1.2946,1.8751,3.3302621810511124e+22
1327.1,7.84,4.48,3.368,3375,1500,1327.1,3.368,1.2766,1.9616,3.181182230214648e+22
1307.1,7.85,4.49,3.37,3375,1500,1307.1,3.37,1.2586,2.047,3.036475946643536e+22
1287.1,7.86,4.49,3.373,3375,1500,1287.1,3.373,1.2405,2.1313,2.8960391930655183e+22
1267.1,7.88,4.50,3.375,3375,1500,1267.1,3.375,1.2225,2.2144,2.759852266577881e+22
1252.0,7.88,4.50,3.377,3375,1500,1252.0,3.377,1.2089,2.2764,2.6594076813605084e+22
1231.7,7.90,4.51,3.379,1125,500,1231.7,3.379,1.1906,2.3586,2.5286389301077023e+22
1207.1,7.91,4.51,3.382,1125,500,1207.1,3.382,1.1685,2.4567,2.3763020439214447e+22
1187.1,7.92,4.52,3.384,1125,500,1187.1,3.384,1.1505,2.5352,2.256450171304795e+22
1167.1,7.94,4.53,3.386,1125,500,1167.1,3.386,1.1325,2.6125,2.140534287307476e+22
1147.1,7.95,4.53,3.388,1125,500,1147.1,3.388,1.1145,2.6886,2.028491005547614e+22
1127.1,7.96,4.54,3.391,1125,500,1127.1,3.391,1.0965,2.7635,1.9202248915175216e+22
1107.1,7.97,4.54,3.393,1125,500,1107.1,3.393,1.0786,2.8373,1.815705368081073e+22
1087.1,7.98,4.54,3.395,1125,500,1087.1,3.395,1.0606,2.9099,1.7148686668387272e+22
1067.1,7.99,4.55,3.397,1125,500,1067.1,3.397,1.0427,2.9813,1.6176508987537854e+22
1047.1,8.00,4.55,3.398,1125,500,1047.1,3.398,1.0249,3.0515,1.524015610152567e+22
1027.1,8.01,4.56,3.4,1125,500,1027.1,3.4,1.007,3.1206,1.4338700721172448e+22
1002.0,8.02,4.56,3.403,1125,500,1002.0,3.403,0.9847,3.2056,1.326104267053077e+22
987.1,8.03,4.57,3.404,1125,500,987.1,3.404,0.9715,3.2552,1.2640019237534391e+22
961.7,8.04,4.57,3.406,675,300,961.7,3.406,0.949,3.3383,1.163455308260338e+22
947.1,8.05,4.57,3.408,675,300,947.1,3.408,0.9361,3.3852,1.107369371349264e+22
927.1,8.06,4.58,3.409,675,300,927.1,3.409,0.9185,3.4484,1.0337283127238168e+22
907.1,8.07,4.58,3.411,675,300,907.1,3.411,0.901,3.5104,9.631888880855398e+21
887.1,8.08,4.58,3.413,675,300,887.1,3.413,0.8835,3.5713,8.956861628756993e+21
867.1,8.08,4.59,3.414,675,300,867.1,3.414,0.8662,3.631,8.311739782617936e+21
847.1,8.09,4.59,3.416,675,300,847.1,3.416,0.8489,3.6896,7.695674003964826e+21
827.1,8.10,4.59,3.417,675,300,827.1,3.417,0.8318,3.747,7.10818346083534e+21
807.1,8.11,4.60,3.419,675,300,807.1,3.419,0.8147,3.8033,6.548434037154784e+21
787.1,8.12,4.60,3.42,675,300,787.1,3.42,0.7978,3.8584,6.015926461571254e+21
767.1,8.12,4.60,3.421,675,300,767.1,3.421,0.7811,3.9124,5.509988927869227e+21
747.1,8.13,4.61,3.423,675,300,747.1,3.423,0.7645,3.9653,5.029808746138561e+21
727.1,8.14,4.61,3.424,675,300,727.1,3.424,0.7481,4.0171,4.5748605944384135e+21
707.1,8.14,4.61,3.425,675,300,707.1,3.425,0.732,4.0678,4.144470655933964e+21
687.1,8.15,4.61,3.427,675,300,687.1,3.427,0.716,4.1174,3.7378458573222545e+21
667.1,8.16,4.62,3.428,675,300,667.1,3.428,0.7004,4.166,3.354436635630871e+21
647.1,8.16,4.62,3.429,675,300,647.1,3.429,0.685,4.2135,2.993567163405696e+21
627.1,8.17,4.62,3.43,675,300,627.1,3.43,0.67,4.2599,2.6545610100068225e+21
607.1,8.18,4.62,3.431,675,300,607.1,3.431,0.6554,4.3054,2.3367411416085543e+21
587.1,8.18,4.62,3.433,675,300,587.1,3.433,0.6413,4.3499,2.03934329205593e+21
567.1,8.19,4.63,3.434,675,300,567.1,3.434,0.6277,4.3935,1.7617816519371346e+21
547.1,8.19,4.63,3.435,675,300,547.1,3.435,0.6147,4.4361,1.5033771768071738e+21
527.1,8.20,4.63,3.436,675,300,527.1,3.436,0.6024,4.478,1.2634502190352632e+21
507.1,8.20,4.63,3.437,675,300,507.1,3.437,0.5909,4.519,1.0413205278048291e+21
487.1,8.21,4.63,3.438,675,300,487.1,3.438,0.5804,4.5592,8.363072491135086e+20
467.1,8.21,4.63,3.438,675,300,467.1,3.438,0.571,4.5988,6.477837609936607e+20
447.1,8.22,4.63,3.439,675,300,447.1,3.439,0.5629,4.6378,4.750085725804251e+20
427.1,8.22,4.64,3.44,675,300,427.1,3.44,0.5564,4.6763,3.1729922137600007e+20
407.1,8.23,4.64,3.441,675,300,407.1,3.441,0.5518,4.7144,1.739726416967943e+20
387.1,8.23,4.64,3.442,675,300,387.1,3.442,0.5495,4.7523,4.434516467342699e+19
380.0,8.23,4.64,3.442,675,300,380.0,3.442,0.5494,4.7657,0.0
380.0,?,0.00?,5.171,10000,10000,380.0,5.171,0.5494,4.7657,0.0
0.0,?,?,5.171,10000,10000,0.0,5.171,0.0,5.3055,0.0
